RUN,receptor_conc,ligand_conc,cross_conc,receptor_D2,ligand_D2,cross_D2
2,1441.222,2831.391,4442.141,21.364,42.529,1838.869
4,2019.558,1369.816,5153.095,13.122,17.146,11.01
9,397.728,513.186,2095.479,12.01,60.149,32.837
11,406.213,266.253,1257.903,21.195,17.517,37.637
12,668.833,542.054,3844.726,13.706,29.708,22.126
15,692.19,657.845,3813.429,11.614,34.58,25.46
16,588.61,321.19,2522.76,12.002,23.985,15.202
17,450.896,976.382,2655.95,13.732,72.722,22.301
18,2850.516,2368.311,55638.741,13.591,56.924,7.721
19,2577.377,1572.568,8169.068,18.104,50.143,382.924
20,2868.014,2542.53,10097.869,46.189,86.461,285.319
