RUN,receptor_conc,ligand_conc,cross_conc,receptor_D2,ligand_D2,cross_D2
3,1436.021,1042.452,6784.247,75.627,37.189,9.49
4.1,1129.096,1443.264,4332.797,14.377,22.426,15.829
5,630.688,450.403,2105.814,6.763,13.069,9.308
6.2,836.31,417.667,2226.583,9.257,18.711,8.211
8.1,662.527,880.85,2367.99,24.978,13.674,17.581
9.1,934.387,514.487,1686.068,37.957,49.389,30.69
9.2,1351.112,376.784,1481.334,0.029,12.97,6.529
10.2,689.813,197.448,1336.108,21.24,15.41,22.394
10.3,428.899,338.873,1482.805,30.918,115.453,49.341
11,692.385,338.924,1833.778,46.189,86.461,285.319
21,813.014,539.796,2142.948,52.063,86.653,44.035
