RUN,receptor_conc,ligand_conc,cross_conc,receptor_D2,ligand_D2,cross_D2
1,668.407,725.512,3679.807,3.459,24.213,3.26
3,404.111,472.611,731.906,1.86,8.715,20.81
4,823.645,1036.786,5817.497,18.75,52.099,9.552
7,796.356,718.167,2141.069,9.827,11.906,8.505
14,670.637,902.667,2140.729,14.88,23.752,35.314
15,637.144,720.508,4147.433,27.327,50.486,18.611
17,672.92,903.755,3679.663,27.902,70.246,29.064
22,791.543,1008.544,3627.898,22.19,45.117,30.31
23,497.323,424.144,1443.729,12.32,40.531,17.206
26,400.479,292.261,1094.608,23.348,24.312,19.635
28,931.589,870.893,3175.758,25.414,38.144,24.366
29,1111.825,544.536,3186.864,19.034,46.685,21.757
31,324.279,560.033,1344.725,23.027,48.065,26.374
33,456.374,482.678,1820.474,24.608,37.024,20.099
41,1178.389,467.86,4182.235,27.893,12.861,12.916
42,506.432,480.793,2231.867,19.62,52.518,40.434
43,451.514,435.896,1741.125,17.941,48.028,15.023
